company,location,education,skills_description,job_type,salary,job_experience,job_role,exp_min,exp_max,exp_avg,primary_location,role_category,salary_category,skill_count,experience_level
Global Employees,"Kolkata, Mumbai, Hyderabad, Pune, Bengaluru, Any Location",Not Specified,"Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source",full-time,1293537.0,3-5,Senior Data Scientist - Machine Learning,3,5,4.0,Kolkata,Data Scientist,10-15 LPA,8,Mid-Level
Tredence Analytics Solutions Private Limited,"Gurugram, Chennai, Bengaluru",Postgraduate,"Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning",full-time,,6-7,Data Scientist / Senior Data Scientist,6,7,6.5,Gurugram,Data Scientist,,8,Senior
Target,Bengaluru,Postgraduate,"Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum",contract,1062937.0,3-7,Sr Data Scientist,3,7,5.0,Bengaluru,Data Scientist,10-15 LPA,8,Mid-Level
Northface Consultancy Services Private Limited,Bengaluru,Postgraduate,"database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS",Not Specified,452946.0,4-6,Senior Data Scientist,4,6,5.0,Bengaluru,Data Scientist,<5 LPA,8,Mid-Level
referral,Bengaluru,Not Specified,"Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval",contract,2430530.0,1-3,Senior Data Scientist,1,3,2.0,Bengaluru,Data Scientist,>20 LPA,8,Junior
Micello India Pvt Ltd,Bengaluru,Undergraduate,"CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS",full-time,619637.0,6-7,Lead Python Data Scientist,6,7,6.5,Bengaluru,Data Scientist,5-10 LPA,8,Senior
Flipkart,Bengaluru,Undergraduate,"Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks",contract,,6-8,Senior Data Scientist Grade12,6,8,7.0,Bengaluru,Data Scientist,,8,Senior
Flipkart,Bengaluru,Postgraduate,"data science, E-commerce, Statistics",contract,2136779.0,4-5,Senior Data Scientist Grade12,4,5,4.5,Bengaluru,Data Scientist,>20 LPA,3,Mid-Level
Tesco,Bengaluru,Undergraduate,"python, Tableau, Machine Learning, sql, Statistical Modeling, Adv Excel, Microstrategy, R shiny",contract,1906007.0,6-7,Sr. Analyst - Applied Data Scientist,6,7,6.5,Bengaluru,Data Scientist,15-20 LPA,8,Senior
IGT India,Hyderabad,Postgraduate,"IT Skills, Python, Data Science, Machine Learning, Big Data, AWS, Azure, Computer science",full-time,1124428.0,4-7,Data Scientist V,4,7,5.5,Hyderabad,Data Scientist,10-15 LPA,8,Senior
Pfizer,Chennai,Postgraduate,"Computer science, data science, Neural networks, Pharma, Network analysis, Machine learning, Clinical trials, data visualization",full-time,,3-4,"Manager, Data Scientist/AI and Machine Learning Specialist",3,4,3.5,Chennai,Data Scientist,,8,Mid-Level
eClerx,Pune,Postgraduate,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, Data Analytics, Random Forest",contract,1825133.0,5-6,Digital-Process Manager-Data Scientist PM,5,6,5.5,Pune,Data Scientist,15-20 LPA,8,Senior
Eli Lilly and Company,Bengaluru,Undergraduate,"data reporting, Analytical, Pharma, Healthcare, data integrity, HR, Troubleshooting, HPLC",contract,902856.0,3-5,Associate Data Scientist,3,5,4.0,Bengaluru,Data Scientist,5-10 LPA,8,Mid-Level
Revnomix Solutions LLP,"Mumbai, Pune, Mumbai",Undergraduate,"python, django, java, MySQL, IT Skills, Data Science, Cloud, Javascript",full-time,572639.0,5-6,Senior Data Scientist,5,6,5.5,Mumbai,Data Scientist,5-10 LPA,8,Senior
novo,Gurugram,Postgraduate,"Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL",full-time,1911490.0,2-4,Senior Data Scientist,2,4,3.0,Gurugram,Data Scientist,15-20 LPA,8,Junior
Sejal Consulting Hub,Remote,Undergraduate,"Data Analysis, C++, Data Visualization, Advanced Excel, Tableau, Python",contract,1835512.0,5-6,Junior Data Analyst/ Scientist- Fresher Position,5,6,5.5,Remote,Data Analyst,15-20 LPA,6,Senior
Accenture,Bengaluru,Undergraduate,"SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials",full-time,453951.0,6-8,Sr. Clinical Data Programming Scientist,6,8,7.0,Bengaluru,Sr. Clinical Data Programming Scientist,<5 LPA,8,Senior
Pfizer,Chennai,Postgraduate,"Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring",Not Specified,895081.0,1-7,"Manager, Senior Clinical Data Scientist, Clinical Data Sciences",1,7,4.0,Chennai,Data Scientist,5-10 LPA,8,Mid-Level
Michelin,Pune,Undergraduate,"Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data",contract,367683.0,6-7,Senior Data Scientist,6,7,6.5,Pune,Data Scientist,<5 LPA,8,Senior
eClerx,Pune,Undergraduate,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics",contract,1912489.0,7-8,Digital-Senior Process Manager- Data Scientist SPM,7,8,7.5,Pune,Data Scientist,15-20 LPA,8,Senior
MNR Solutions Pvt. Ltd.,"Pune, Bengaluru",Not Specified,"Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data",full-time,1899161.0,0-1,Data Scientist,0,1,0.5,Pune,Data Scientist,15-20 LPA,8,Fresher
Teq Analytics,"Bengaluru, Delhi NCR, Mumbai",Postgraduate,"Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science",contract,1940902.0,4-5,Data Scientist - Machine learning AI,4,5,4.5,Bengaluru,Data Scientist,15-20 LPA,8,Mid-Level
String Bio,Bengaluru,Postgraduate,"Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence",full-time,1185086.0,2-4,DATA SCIENTIST,2,4,3.0,Bengaluru,Data Scientist,10-15 LPA,8,Junior
Target,Bengaluru,Undergraduate,"Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source",Not Specified,1956620.0,0-2,Principal Data Scientist - Digital Marketing,0,2,1.0,Bengaluru,Data Scientist,15-20 LPA,8,Fresher
Tesco Bengaluru,Bengaluru,Undergraduate,"Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python",contract,1063887.0,1-2,Manager Applied Data Scientist,1,2,1.5,Bengaluru,Data Scientist,10-15 LPA,8,Junior
Sportism,Chennai,Postgraduate,"machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau",full-time,1876255.0,6-8,Sr Data Scientist and Engineer,6,8,7.0,Chennai,Data Scientist,15-20 LPA,8,Senior
Connexions,Gurugram,Undergraduate,"Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R",Not Specified,303800.0,4-6,Data Scientist/ Sr Data Scientist,4,6,5.0,Gurugram,Data Scientist,<5 LPA,8,Mid-Level
Pfizer,Mumbai,Postgraduate,"Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML",contract,1090761.0,7-8,"Manager, Lead Data Scientist (R CoE)",7,8,7.5,Mumbai,Data Scientist,10-15 LPA,8,Senior
IBM,Bengaluru,Postgraduate,"Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment",contract,668350.0,2-4,Data Scientist: Artificial Intelligence,2,4,3.0,Bengaluru,Data Scientist,5-10 LPA,7,Junior
Barclays Shared Services (BSS),Noida,Postgraduate,"Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning",full-time,2342246.0,5-7,Data Scientist (AVP & Manager Roles),5,7,6.0,Noida,Data Scientist,>20 LPA,5,Senior
UPL,"Bengaluru, Mumbai",Undergraduate,"Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS",Not Specified,1098406.0,2-7,Principal Data Scientist,2,7,4.5,Bengaluru,Data Scientist,10-15 LPA,8,Mid-Level
Genpact,"Hyderabad, Bengaluru, Delhi NCR",Undergraduate,"AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree",full-time,2276730.0,5-7,Data Scientist,5,7,6.0,Hyderabad,Data Scientist,>20 LPA,8,Senior
IBM,Bengaluru,Undergraduate,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing",contract,382994.0,2-3,Data Scientist: Advanced Analytics,2,3,2.5,Bengaluru,Data Scientist,<5 LPA,8,Junior
IBM,Bengaluru,Postgraduate,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration",contract,1020437.0,7-8,Data Scientist: Artificial Intelligence,7,8,7.5,Bengaluru,Data Scientist,10-15 LPA,8,Senior
INOVARTECH PRIVATE LIMITED,Hyderabad,Postgraduate,"Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie",contract,2351816.0,3-6,"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)",3,6,4.5,Hyderabad,Data Scientist,>20 LPA,8,Mid-Level
SKILLVENTORY,Bengaluru,Undergraduate,"Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning",full-time,2003146.0,0-2,VP-Data Scientist-AI/ML with Leading Investment Bank,0,2,1.0,Bengaluru,Data Scientist,>20 LPA,8,Fresher
Walmart,Bengaluru,Undergraduate,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks",full-time,1981076.0,5-7,Senior Data Scientist,5,7,6.0,Bengaluru,Data Scientist,15-20 LPA,8,Senior
IBM,Bengaluru,Undergraduate,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR",Not Specified,1212303.0,4-5,Cognitive/AI Senior Data Scientist,4,5,4.5,Bengaluru,Data Scientist,10-15 LPA,8,Mid-Level
Tesco,Bengaluru,Not Specified,"python, Tableau, SQL",contract,1062128.0,4-5,Analyst - Applied Data Scientist,4,5,4.5,Bengaluru,Data Scientist,10-15 LPA,3,Mid-Level
Mavenir,Bengaluru,Undergraduate,"Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL",contract,340889.0,7-8,Research Data Scientist,7,8,7.5,Bengaluru,Data Scientist,<5 LPA,8,Senior
Aaum Research and Analytics Private Limited,Chennai,Postgraduate,"Statistical Modeling, R Program",contract,1323267.0,1-7,Freshers For Junior Data Scientist,1,7,4.0,Chennai,Data Scientist,10-15 LPA,2,Mid-Level
Applied Materials,Bengaluru,Postgraduate,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau",contract,1248564.0,6-8,Lead - Data Scientist,6,8,7.0,Bengaluru,Data Scientist,10-15 LPA,8,Senior
Deutsche Bank,Bengaluru,Not Specified,"Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services",full-time,1330093.0,0-7,Data Scientist / Analyst,0,7,3.5,Bengaluru,Data Scientist,10-15 LPA,8,Mid-Level
CarbyneTech India,Hyderabad,Postgraduate,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python",contract,1916189.0,1-2,Data Scientist - Machine Learning/APICS,1,2,1.5,Hyderabad,Data Scientist,15-20 LPA,8,Junior
Vasta Bio-informatics Pvt ltd,"Thane, Panvel, Navi Mumbai",Postgraduate,"python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying",contract,746833.0,0-2,Data Scientist,0,2,1.0,Thane,Data Scientist,5-10 LPA,8,Fresher
Huquo Consulting Pvt. Ltd,"Gurugram, Bengaluru",Undergraduate,"R, SAS, Data Scientist, analytics, analytical skills, Machine Learning",full-time,538945.0,1-7,Assistant Manager/Manager/Senior Manager - Data Scientist,1,7,4.0,Gurugram,Data Scientist,5-10 LPA,6,Mid-Level
AVTAR Career Creators,Chennai,Postgraduate,"Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL",Not Specified,1907193.0,5-7,Senior Data Scientist,5,7,6.0,Chennai,Data Scientist,15-20 LPA,8,Senior
HCL Technologies,Delhi NCR,Postgraduate,"machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN",full-time,,5-7,Job Opportunity || Data Scientist || HCL Technologies,5,7,6.0,Delhi NCR,Data Scientist,,8,Senior
Accenture,Bengaluru,Postgraduate,"SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming",contract,475888.0,5-6,Clinical Data Management Scientist,5,6,5.5,Bengaluru,Clinical Data Management Scientist,<5 LPA,8,Senior
IBM,Kolkata,Undergraduate,"Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics",full-time,1313957.0,7-8,Data Scientist: Advanced Analytics,7,8,7.5,Kolkata,Data Scientist,10-15 LPA,8,Senior
KONE,Pune,Postgraduate,"python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization",contract,1515035.0,5-7,Data Scientist - KONE India Pvt. LTD,5,7,6.0,Pune,Data Scientist,15-20 LPA,8,Senior
Ericsson,Noida,Undergraduate,"Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence",Not Specified,1293498.0,3-5,Data Scientist,3,5,4.0,Noida,Data Scientist,10-15 LPA,8,Mid-Level
Maestro Headhunters LLP,Mumbai,Undergraduate,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C",contract,1807014.0,7-8,Data Scientist - Leading Analytics Product Company in Mumbai,7,8,7.5,Mumbai,Data Scientist,15-20 LPA,8,Senior
TRH Consultancy Services,Greater Noida,Postgraduate,"Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL",contract,1066198.0,4-5,Data Scientist - R/Python,4,5,4.5,Greater Noida,Data Scientist,10-15 LPA,8,Mid-Level
Axcess Consultancy Services,Hyderabad,Postgraduate,"Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm",contract,798013.0,1-3,Data Scientist - Machine Learning,1,3,2.0,Hyderabad,Data Scientist,5-10 LPA,8,Junior
Invesco,Hyderabad,Undergraduate,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM",contract,1735330.0,7-8,Sr. Data Scientist,7,8,7.5,Hyderabad,Data Scientist,15-20 LPA,8,Senior
Accumed Practice Management DMCC,Chennai,Postgraduate,"Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing",contract,2063415.0,4-7,Sr. Data Scientist,4,7,5.5,Chennai,Data Scientist,>20 LPA,8,Senior
ContractPodAi,Mumbai,Postgraduate,"Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling",full-time,411105.0,4-6,Senior Data Scientist,4,6,5.0,Mumbai,Data Scientist,<5 LPA,8,Mid-Level
eClerx,Pune,Undergraduate,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management",contract,1827521.0,1-7,Digital-Senior Process Manager- Data Scientist SPM,1,7,4.0,Pune,Data Scientist,15-20 LPA,8,Mid-Level
ICERTIS Solutions,Pune,Postgraduate,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing",Not Specified,1291955.0,4-6,Senior Data Scientist,4,6,5.0,Pune,Data Scientist,10-15 LPA,8,Mid-Level
Oportun Inc,Chennai,Postgraduate,"Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services",full-time,,6-7,Sr Data Scientist,6,7,6.5,Chennai,Data Scientist,,8,Senior
PayPal,Chennai,Not Specified,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",contract,853890.0,4-7,Data Scientist,4,7,5.5,Chennai,Data Scientist,5-10 LPA,8,Senior
TransOrg Solutions Services (P) Ltd.,"Noida, Delhi, Gurugram, Delhi NCR, Mumbai",Postgraduate,"Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis",full-time,1370878.0,3-5,Data Scientist/ Analyst Specialist,3,5,4.0,Noida,Data Scientist,10-15 LPA,8,Mid-Level
2Coms,"Bengaluru, Bangalore North",Undergraduate,Data Scientist,contract,1811183.0,1-4,Data Scientist (freelance),1,4,2.5,Bengaluru,Data Scientist,15-20 LPA,1,Junior
M/S NILE,Bengaluru,Postgraduate,"Java, python, NLP, MySQL, Machine Learning, Deep Learning",full-time,959132.0,4-5,Data Scientist,4,5,4.5,Bengaluru,Data Scientist,5-10 LPA,6,Mid-Level
ZOLVE INNOVATIONS PRIVATE LIMITED,Bengaluru,Undergraduate,"Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning",full-time,1134906.0,1-7,Data Scientist,1,7,4.0,Bengaluru,Data Scientist,10-15 LPA,5,Mid-Level
Rolls Royce,Bengaluru,Postgraduate,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python",contract,1900421.0,4-6,Rolls-Royce Data Labs : Data Scientist,4,6,5.0,Bengaluru,Data Scientist,15-20 LPA,7,Mid-Level
Applied Materials,Bengaluru,Postgraduate,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas",contract,361796.0,2-5,Data Scientist,2,5,3.5,Bengaluru,Data Scientist,<5 LPA,8,Mid-Level
Walmart,Bengaluru,Postgraduate,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL",contract,1575399.0,4-5,Staff Data Scientist,4,5,4.5,Bengaluru,Data Scientist,15-20 LPA,8,Mid-Level
VISA,Bengaluru,Undergraduate,"Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA",contract,1900813.0,6-8,Data Scientist,6,8,7.0,Bengaluru,Data Scientist,15-20 LPA,8,Senior
IBM,Bengaluru,Undergraduate,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",contract,1100045.0,1-6,Data Scientist: Artificial Intelligence,1,6,3.5,Bengaluru,Data Scientist,10-15 LPA,8,Mid-Level
IBM,Bengaluru,Not Specified,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",Not Specified,2315612.0,3-4,Data Scientist: Artificial Intelligence,3,4,3.5,Bengaluru,Data Scientist,>20 LPA,8,Mid-Level
Walmart,Bengaluru,Postgraduate,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics",full-time,2408342.0,0-4,Staff Data Scientist,0,4,2.0,Bengaluru,Data Scientist,>20 LPA,8,Junior
CRED,Bengaluru,Undergraduate,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval",Not Specified,1111187.0,4-7,Data Scientist,4,7,5.5,Bengaluru,Data Scientist,10-15 LPA,8,Senior
Leading US MNC into Analytics,"Gurugram, Bengaluru, Delhi NCR",Undergraduate,"machine learning, IT Skills, Data Science, python, nlp",contract,1543466.0,7-8,Data Scientist / Machine learning Engineer- Python/NLP,7,8,7.5,Gurugram,Data Scientist,15-20 LPA,5,Senior
BLEND360 INDIA PRIVATE LIMITED,Hyderabad,Undergraduate,"Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing",contract,1654630.0,0-7,Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),0,7,3.5,Hyderabad,Data Scientist,15-20 LPA,8,Mid-Level
IBM,Mumbai,Postgraduate,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical",Not Specified,601318.0,5-7,Data Scientist-Client Engineering,5,7,6.0,Mumbai,Data Scientist,5-10 LPA,8,Senior
HUDSON'S BAY SERVICES PRIVATE LIMITED,Bengaluru,Undergraduate,"python, machine learning, Artificial Intelligence",full-time,2226304.0,4-6,Sr. Data Scientist,4,6,5.0,Bengaluru,Data Scientist,>20 LPA,3,Mid-Level
Target,Bengaluru,Undergraduate,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",full-time,509245.0,2-3,Sr Data Scientist,2,3,2.5,Bengaluru,Data Scientist,5-10 LPA,8,Junior
Knowledge Foundry Business Solutions Pvt. Ltd.,Bengaluru,Postgraduate,"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence",full-time,802472.0,7-8,Senior Data Scientist -Python+ML(5-7 years),7,8,7.5,Bengaluru,Data Scientist,5-10 LPA,8,Senior
Hanu Software Solutions,"Bengaluru, Delhi NCR, Mumbai",Postgraduate,"Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data",full-time,1166567.0,3-5,Hiring Senior Data Scientist - AI ( Remote) || Hanu,3,5,4.0,Bengaluru,Data Scientist,10-15 LPA,8,Mid-Level
Course5,"Bengaluru, Mumbai",Undergraduate,"statistics, Supply chain, gcp, aws",contract,1469441.0,6-7,Senior Data Scientist,6,7,6.5,Bengaluru,Data Scientist,10-15 LPA,4,Senior
PayU,"Gurugram, Bengaluru, Mumbai",Postgraduate,"python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining",Not Specified,1184512.0,0-6,Data Scientist Opportunity with PayU - Diversity Hiring,0,6,3.0,Gurugram,Data Scientist,10-15 LPA,8,Junior
PayPal,Bengaluru,Postgraduate,"Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services",contract,918770.0,6-8,Data Scientist 1,6,8,7.0,Bengaluru,Data Scientist,5-10 LPA,8,Senior
IBM,Bengaluru,Undergraduate,"IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical",full-time,1855589.0,1-5,Data Scientist: Advanced Analytics,1,5,3.0,Bengaluru,Data Scientist,15-20 LPA,8,Junior
IBM,Bengaluru,Undergraduate,"Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation",Not Specified,1404951.0,7-8,Data Scientist: Advanced Analytics,7,8,7.5,Bengaluru,Data Scientist,10-15 LPA,8,Senior
IBM,Bengaluru,Undergraduate,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence",full-time,2097745.0,2-3,Data Scientist: Artificial Intelligence,2,3,2.5,Bengaluru,Data Scientist,>20 LPA,8,Junior
IBM,Bengaluru,Postgraduate,"IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS",contract,912923.0,1-3,Data Scientist: Artificial Intelligence,1,3,2.0,Bengaluru,Data Scientist,5-10 LPA,8,Junior
Ashkom Media India Private Limited,"Noida, Bengaluru",Postgraduate,"cloud, Hive, python, Hadoop, Big Data",contract,1327000.0,5-6,Data Scientist,5,6,5.5,Noida,Data Scientist,10-15 LPA,5,Senior
IDFC FIRST Bank,"Mumbai, Pune, Bengaluru, Mumbai",Not Specified,"Economics, stats Graduate, Data scientist, Machine Learning Eng",full-time,2499934.0,0-1,Associate Data Scientist,0,1,0.5,Mumbai,Data Scientist,>20 LPA,4,Fresher
eClerx,Pune,Undergraduate,"Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling",contract,,5-6,Digital-Associate Process Manager - Data Scientist APM,5,6,5.5,Pune,Data Scientist,,8,Senior
Master Mind Consultancy,"Mumbai, Bengaluru",Not Specified,"data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python",contract,,5-6,Data Scientist,5,6,5.5,Mumbai,Data Scientist,,8,Senior
cliqhr.com,Bengaluru,Undergraduate,"data mining, -, R, Tableau, communication, SQL, C++, Python",full-time,487335.0,2-6,Data Scientist,2,6,4.0,Bengaluru,Data Scientist,<5 LPA,8,Mid-Level
Hucon Solutions,Bengaluru,Not Specified,"Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL",contract,621090.0,5-7,Data Scientist,5,7,6.0,Bengaluru,Data Scientist,5-10 LPA,8,Senior
cliqhr.com,Bengaluru,Undergraduate,"SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R",contract,2498426.0,4-5,Data Scientist,4,5,4.5,Bengaluru,Data Scientist,>20 LPA,8,Mid-Level
Target,Bengaluru,Postgraduate,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",full-time,1919709.0,7-8,Lead Data Scientist,7,8,7.5,Bengaluru,Data Scientist,15-20 LPA,8,Senior
TransOrg Solutions Services (P) Ltd.,"Bengaluru, Delhi NCR, Mumbai",Undergraduate,"R, Python, SQL, Data Science, Data Manipulation, Artificial Intelligence, Linear Regression, Machine Learning",contract,2416914.0,5-7,Lead Data Scientist,5,7,6.0,Bengaluru,Data Scientist,>20 LPA,8,Senior
PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,Hyderabad,Postgraduate,"python, IT Skills, Testing, Data Science, Cloud, AWS, Azure, Pytorch",contract,1552344.0,2-4,Data Scientist,2,4,3.0,Hyderabad,Data Scientist,15-20 LPA,8,Junior
