company,location,education,skills_description,job_type,salary,job_experience,job_role
SKILLVENTORY,Bengaluru,Undergraduate,"Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning",full-time,2003146.0,0-2,VP-Data Scientist-AI/ML with Leading Investment Bank
Walmart,Bengaluru,Undergraduate,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks",full-time,1981076.0,5-7,Senior Data Scientist
IBM,Bengaluru,Undergraduate,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR",Not Specified,1212303.0,4-5,Cognitive/AI Senior Data Scientist
Tesco,Bengaluru,Not Specified,"python, Tableau, SQL",contract,1062128.0,4-5,Analyst - Applied Data Scientist
Mavenir,Bengaluru,Undergraduate,"Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL",contract,340889.0,7-8,Research Data Scientist
Aaum Research and Analytics Private Limited,Chennai,Postgraduate,"Statistical Modeling, R Program",contract,1323267.0,1-7,Freshers For Junior Data Scientist
Applied Materials,Bengaluru,Postgraduate,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau",contract,1248564.0,6-8,Lead - Data Scientist
Deutsche Bank,Bengaluru,Not Specified,"Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services",full-time,1330093.0,0-7,Data Scientist / Analyst
CarbyneTech India,Hyderabad,Postgraduate,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python",contract,1916189.0,1-2,Data Scientist - Machine Learning/APICS
Vasta Bio-informatics Pvt ltd,"Thane, Panvel, Navi Mumbai",Postgraduate,"python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying",contract,746833.0,0-2,Data Scientist
Huquo Consulting Pvt. Ltd,"Gurugram, Bengaluru",Undergraduate,"R, SAS, Data Scientist, analytics, analytical skills, Machine Learning",full-time,538945.0,1-7,Assistant Manager/Manager/Senior Manager - Data Scientist
AVTAR Career Creators,Chennai,Postgraduate,"Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL",Not Specified,1907193.0,5-7,Senior Data Scientist
HCL Technologies,Delhi NCR,Postgraduate,"machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN",full-time,,5-7,Job Opportunity || Data Scientist || HCL Technologies
Accenture,Bengaluru,Postgraduate,"SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming",contract,475888.0,5-6,Clinical Data Management Scientist
IBM,Kolkata,Undergraduate,"Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics",full-time,1313957.0,7-8,Data Scientist: Advanced Analytics
KONE,Pune,Postgraduate,"python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization",contract,1515035.0,5-7,Data Scientist - KONE India Pvt. LTD
Ericsson,Noida,Undergraduate,"Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence",Not Specified,1293498.0,3-5,Data Scientist
Maestro Headhunters LLP,Mumbai,Undergraduate,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C",contract,1807014.0,7-8,Data Scientist - Leading Analytics Product Company in Mumbai
TRH Consultancy Services,Greater Noida,Postgraduate,"Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL",contract,1066198.0,4-5,Data Scientist - R/Python
Axcess Consultancy Services,Hyderabad,Postgraduate,"Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm",contract,798013.0,1-3,Data Scientist - Machine Learning
Invesco,Hyderabad,Undergraduate,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM",contract,1735330.0,7-8,Sr. Data Scientist
Accumed Practice Management DMCC,Chennai,Postgraduate,"Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing",contract,2063415.0,4-7,Sr. Data Scientist
ContractPodAi,Mumbai,Postgraduate,"Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling",full-time,411105.0,4-6,Senior Data Scientist
eClerx,Pune,Undergraduate,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management",contract,1827521.0,1-7,Digital-Senior Process Manager- Data Scientist SPM
ICERTIS Solutions,Pune,Postgraduate,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing",Not Specified,1291955.0,4-6,Senior Data Scientist
Oportun Inc,Chennai,Postgraduate,"Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services",full-time,,6-7,Sr Data Scientist
PayPal,Chennai,Not Specified,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",contract,853890.0,4-7,Data Scientist
TransOrg Solutions Services (P) Ltd.,"Noida, Delhi, Gurugram, Delhi NCR, Mumbai",Postgraduate,"Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis",full-time,1370878.0,3-5,Data Scientist/ Analyst Specialist
2Coms,"Bengaluru, Bangalore North",Undergraduate,Data Scientist,contract,1811183.0,1-4,Data Scientist (freelance)
M/S NILE,Bengaluru,Postgraduate,"Java, python, NLP, MySQL, Machine Learning, Deep Learning",full-time,959132.0,4-5,Data Scientist
ZOLVE INNOVATIONS PRIVATE LIMITED,Bengaluru,Undergraduate,"Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning",full-time,1134906.0,1-7,Data Scientist
Rolls Royce,Bengaluru,Postgraduate,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python",contract,1900421.0,4-6,Rolls-Royce Data Labs : Data Scientist
Applied Materials,Bengaluru,Postgraduate,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas",contract,361796.0,2-5,Data Scientist
Walmart,Bengaluru,Postgraduate,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL",contract,1575399.0,4-5,Staff Data Scientist
VISA,Bengaluru,Undergraduate,"Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA",contract,1900813.0,6-8,Data Scientist
IBM,Bengaluru,Undergraduate,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",contract,1100045.0,1-6,Data Scientist: Artificial Intelligence
IBM,Bengaluru,Not Specified,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",Not Specified,2315612.0,3-4,Data Scientist: Artificial Intelligence
Walmart,Bengaluru,Postgraduate,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics",full-time,2408342.0,0-4,Staff Data Scientist
CRED,Bengaluru,Undergraduate,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval",Not Specified,1111187.0,4-7,Data Scientist
Leading US MNC into Analytics,"Gurugram, Bengaluru, Delhi NCR",Undergraduate,"machine learning, IT Skills, Data Science, python, nlp",contract,1543466.0,7-8,Data Scientist / Machine learning Engineer- Python/NLP
BLEND360 INDIA PRIVATE LIMITED,Hyderabad,Undergraduate,"Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing",contract,1654630.0,0-7,Senior/ Lead Data Scientist - Market Mix Modelling ( MMM)
IBM,Mumbai,Postgraduate,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical",Not Specified,601318.0,5-7,Data Scientist-Client Engineering
HUDSON'S BAY SERVICES PRIVATE LIMITED,Bengaluru,Undergraduate,"python, machine learning, Artificial Intelligence",full-time,2226304.0,4-6,Sr. Data Scientist
Target,Bengaluru,Undergraduate,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",full-time,509245.0,2-3,Sr Data Scientist
Knowledge Foundry Business Solutions Pvt. Ltd.,Bengaluru,Postgraduate,"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence",full-time,802472.0,7-8,Senior Data Scientist -Python+ML(5-7 years)
Hanu Software Solutions,"Bengaluru, Delhi NCR, Mumbai",Postgraduate,"Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data",full-time,1166567.0,3-5,Hiring Senior Data Scientist - AI ( Remote) || Hanu
Course5,"Bengaluru, Mumbai",Undergraduate,"statistics, Supply chain, gcp, aws",contract,1469441.0,6-7,Senior Data Scientist
PayU,"Gurugram, Bengaluru, Mumbai",Postgraduate,"python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining",Not Specified,1184512.0,0-6,Data Scientist Opportunity with PayU - Diversity Hiring
PayPal,Bengaluru,Postgraduate,"Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services",contract,918770.0,6-8,Data Scientist 1
IBM,Bengaluru,Undergraduate,"IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical",full-time,1855589.0,1-5,Data Scientist: Advanced Analytics
IBM,Bengaluru,Undergraduate,"Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation",Not Specified,1404951.0,7-8,Data Scientist: Advanced Analytics
IBM,Bengaluru,Undergraduate,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence",full-time,2097745.0,2-3,Data Scientist: Artificial Intelligence
IBM,Bengaluru,Postgraduate,"IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS",contract,912923.0,1-3,Data Scientist: Artificial Intelligence
Ashkom Media India Private Limited,"Noida, Bengaluru",Postgraduate,"cloud, Hive, python, Hadoop, Big Data",contract,1327000.0,5-6,Data Scientist
IDFC FIRST Bank,"Mumbai, Pune, Bengaluru, Mumbai",Not Specified,"Economics, stats Graduate, Data scientist, Machine Learning Eng",full-time,2499934.0,0-1,Associate Data Scientist
eClerx,Pune,Undergraduate,"Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling",contract,,5-6,Digital-Associate Process Manager - Data Scientist APM
Master Mind Consultancy,"Mumbai, Bengaluru",Not Specified,"data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python",contract,,5-6,Data Scientist
cliqhr.com,Bengaluru,Undergraduate,"data mining, -, R, Tableau, communication, SQL, C++, Python",full-time,487335.0,2-6,Data Scientist
Hucon Solutions,Bengaluru,Not Specified,"Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL",contract,621090.0,5-7,Data Scientist
cliqhr.com,Bengaluru,Undergraduate,"SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R",contract,2498426.0,4-5,Data Scientist
Target,Bengaluru,Postgraduate,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",full-time,1919709.0,7-8,Lead Data Scientist
TransOrg Solutions Services (P) Ltd.,"Bengaluru, Delhi NCR, Mumbai",Undergraduate,"R, Python, SQL, Data Science, Data Manipulation, Artificial Intelligence, Linear Regression, Machine Learning",contract,2416914.0,5-7,Lead Data Scientist
PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,Hyderabad,Postgraduate,"python, IT Skills, Testing, Data Science, Cloud, AWS, Azure, Pytorch",contract,1552344.0,2-4,Data Scientist
Snaphunt,Gurugram,Postgraduate,"data analysis, data mining, artificial neural networks, python, r, predictive modeling, segmentation, machine learning",full-time,1903602.0,0-6,Junior Data Scientist
EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,Noida,Undergraduate,"Data Science, Hypothesis testing, Text mining, PowerBI, R, Tableau, GLM Algorithms, SQL",Not Specified,523046.0,6-8,Junior Data Scientist
Huquo Consulting Pvt. Ltd,"Gurugram, Bengaluru",Undergraduate,"Machine Learning, Data Science, SAS, Data Scientist, Statistics, Analytics, SQL",full-time,1439995.0,5-6,Assistant Manager/Manager/Senior Manager - Data Scientist
2Coms,"Mumbai, Mumbai",Undergraduate,"IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist",contract,1397068.0,7-8,Data Scientist (freelance)
AutomationEdge,Pune,Undergraduate,"Training, deep learning, Backend, Linux, Artificial Intelligence, Machine learning, Transformers, Deployment",full-time,2059214.0,3-4,Data Scientist
Liases Foras Real Estate Rating and Research Private Limited,Mumbai Suburban,Postgraduate,"python, sql, Hadoop Administration, Hive, Periscope, Spark, Machine Learning",Not Specified,2176509.0,7-8,Data Scientist
Groupon,Bengaluru,Postgraduate,"AWS services, Data Science, NLP, Neural Networks, Data Analysis, Data Mining, Machine Learning, Deep Learning",contract,1540005.0,5-7,Data Scientist II
ICAV Tech Pvt. Ltd.,Remote,Undergraduate,"Java, R, Python, IT Skills, Software Development, Testing, Quality Assurance, Javascript",contract,633476.0,1-7,Python Developer(Data Scientist)
Liquiloans,Mumbai,Undergraduate,"Data Scientist, Data Science, Scipy, Pandas, Scikit-learn, Numpy, programming, implementation skills",contract,,2-5,Data Scientist
TotalAI Systems India LLP,Remote,Undergraduate,"algorithms, Natural Language Processing, Deep Learning, IT Skills, Java, Python, Data Science, Tableau",full-time,2249252.0,3-6,Data Scientist
IBM,Ahmedabad,Postgraduate,"data science, Machine learning, Cloud, Open source, Python, IT Skills, Software Development, Testing",contract,,4-6,Mid Level Data Scientist
IBM,Kochi,Undergraduate,"Software design, Machine learning, Open source, SQL, Python, Analytical skills, Analytical, Artificial Intelligence",full-time,1600638.0,5-6,Data Scientist
SIBIA Analytics and Consulting Services Pvt Ltd,Kolkata,Not Specified,"Logistic Regression, MySQL, Natural Language Processing, Time Series, Python, sql, SQL queries, machine learning",full-time,965957.0,1-4,Data Scientist - Experienced/fresher | Kolkata
Amdocs,Pune,Postgraduate,"deep learning, python, data science, machine learning, SQL, Communication Skills, artificial intelligence",full-time,2375718.0,2-4,Data Scientist
Ericsson Global Services,Kolkata,Postgraduate,"Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics",contract,1091437.0,1-3,Service Delivery _ OSS _ Data Scientist
Peoplefy Infosolutions Pvt. Ltd.,Pune,Not Specified,"Data Science, Artificial Intelligence, Machine Learning, IT Skills, Python, Predictive Modeling, Natural Language Processing",full-time,1589046.0,6-8,Urgent Opening For Senior Data Scientist Role (Pune)
Ocrolus East,Gurugram,Postgraduate,"Computer science, Automation, github, data science, Machine learning, Venture capital, Programming, Analytics",full-time,1714967.0,2-4,Senior Data Scientist
fountain9,Mumbai,Postgraduate,"IT Skills, Machine Learning, SAN, Statistical analysis, French, big data analytics, OOPS, Data structures",full-time,2375042.0,4-5,Sr . Data Scientist / Data Scientist
Evolent Health,Pune,Postgraduate,"Business Intelligence, IT Skills, Python, Testing, Credentialing, Medicare, Feedback, US Healthcare",contract,589363.0,0-6,Sr NLP & Text Mining Data Scientist
Creative Hands HR Consultancy,"Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Vadodara",Undergraduate,"python, Machine Learning, Data Scientist, IT Skills, PHP, Artificial Intelligence, software testing, freshers",full-time,1179026.0,6-8,"Data Scientist/ Machine Learning, 2022 Passout Can also apply"
techcarrot FZ LLC,Hyderabad,Undergraduate,"IT Skills, Python, Data Science, Machine Learning, Cloud, DevOps, Azure, SAN",full-time,1092762.0,5-7,Senior Data Scientist
Tridiagonal Solutions Pvt. Ltd.,Pune,Not Specified,"Relationship management, Mining, Computer science, Data management, Pharma, Consulting, Workflow, Data quality",full-time,1199468.0,7-8,Senior Data Scientist
PayPal,Chennai,Undergraduate,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",full-time,1844835.0,0-1,Data Scientist 1
Muthoot Microfin,"Kochi, Ernakulam",Undergraduate,"Predictive Modeling, Business Intelligence, Power Bi, Business Analytics, SAS, Qlik Sense, Scripting Languages, Data Mining",contract,1160702.0,4-7,Data Scientist
PayU Payments,Gurugram,Postgraduate,"Pyspark, Fraud Modelling, Risk, Data Scientist, Python, SAS, predictive analytics, Big Data",contract,1271627.0,5-6,Data Scientist (Risk / Fraud Experience is must)
BNY Mellon,Pune,Undergraduate,"Training, advanced analytics, data science, Programming, Representative, Management, Financial services, Analytics",contract,399381.0,6-7,"Specialist, Data Scientist"
Salesforce,Hyderabad,Undergraduate,"Data analysis, Production engineering, Machine learning, Salesforce.com, Open source, Analytics, SQL, Python",full-time,1556175.0,2-7,"Data Scientist, Enablement"
PayPal,Chennai,Undergraduate,"Computer science, Product engineering, data science, Project management, Consulting, Machine learning, Engineering Design, Financial services",full-time,986412.0,2-6,"Data Scientist, Product Analytics"
PayPal,Chennai,Postgraduate,"remediation, Data analysis, Project management, Analytical, Back office, linear regression, Analytics, Financial services",contract,1434875.0,1-6,Data Scientist
PayPal,Chennai,Postgraduate,"Computer science, Statistical programming, Data modeling, Analytical, Machine learning, QlikView, Business intelligence, Financial services",full-time,303836.0,0-6,Data Scientist 1
Impetus,Gurugram,Undergraduate,"Natural Language, Hive, NLP, Vision, Hyperparameter tuning, Data Wrangling, Machine learning, TensorFlow",contract,,4-7,Data Scientist
CHANGE LEADERS CONSULTING,"Hyderabad, Bengaluru",Undergraduate,"Logistic Regression, R programming, Python, Machine Learning, Statistical Modeling, analytical, advanced statistics, SQL",full-time,1995006.0,5-7,Sr. Associate - Data scientist -Affine.Ai
CHANGE LEADERS CONSULTING,"Hyderabad, Bengaluru",Undergraduate,"advanced statistics, Python, analytical, Statistical Modeling, R programming, Machine Learning, Logistic Regression, IT Skills",full-time,2270132.0,4-5,Sr. Associate - Data scientist -Affine.Ai
KWALEE INDIA PRIVATE LIMITED,Bengaluru,Undergraduate,"Data Science, Tensorflow, NoSQL, Data Management, Statistical Modeling, Data Analysis, Machine Learning, Deep Learning",full-time,582516.0,0-4,Junior Data Scientist
Huquo Consulting Pvt. Ltd,Gurugram,Postgraduate,"data analytics, Data Scientist, Machine Learning, Data analysis, python, SAS, data engineering, SQL",contract,2386869.0,3-5,Manager - Data Scientist - Analytics
Hucon Solutions,Kolkata,Undergraduate,"data scientist, Data modeling, analytics, IT Skills, Cloud, R, Tableau, machine learning",full-time,2167751.0,1-2,Need immediate joiners - Data Scientist
TalentCo Search Pvt Ltd,Pune,Postgraduate,"end-to-end, EDA, visualizations, insights, monitoring, modelling, problem scoping, R",contract,858350.0,3-4,Lead Data Scientist - CPG/BFSI/Healthcare Domain
Career Infosystem,Noida,Not Specified,"Machine Learning, Predictive modeling, MongoDB, Spark, Python, Deep Learning stack, NLP, Hadoop",contract,2273631.0,6-8,Data Scientist - Machine Learning
Confidential,Hyderabad,Undergraduate,"software development, Data Mining, Machine Learning, Java, C#, Hadoop, communication, C++",full-time,1887515.0,2-5,Data Analyst/data Scientist - C++/c#/java
Confidential,Hyderabad,Not Specified,"C#, Java, architecting, C++, software development, Data Scientist, Hadoop, Data Analysis",full-time,2072742.0,5-7,Data Analyst / Data Scientist - C++/c#/java
Confidential,Hyderabad,Undergraduate,"Java, software development, Machine Learning, C++, Hadoop, Data Mining, communication, algorithms",contract,1607854.0,0-3,Data Analyst/ Data Scientist - C++/c#/java
SAP India Pvt.Ltd,Bengaluru,Undergraduate,"Python, IT Skills, Java, Data Science, Machine Learning, Cloud, SAP, Procurement",contract,,2-5,Senior AI Scientist - SAP Procurement Data Science Team
